file_name,caption,insert_section,data_source,real_backend_run,concept_only,local_path
fig_v07_00_font_test_cn.png,字体测试图,"front matter",MATLAB font detection,0,1,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_00_font_test_cn.png
fig_v07_01_c05_likelihood_surface_easy_case.png,C05 代表性样本的局部 DML 似然地形与 topK/refine 区域,"5.6",live Step11.7 backend debug + local DML slice,1,0,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_01_c05_likelihood_surface_easy_case.png
fig_v07_02_c05_decision_real_case.png,C05 真实样本特征到 policy 输出的决策图,"5.6",live Step11.7 direct-reference debug features,1,0,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_02_c05_decision_real_case.png
fig_v07_03_three_case_estimation_results.png,三个代表性场景的 truth/fixed/C05 direct/cached C05 测角结果,"5.6, 6.5",live Step11.7 representative backend outputs + archived fixed topK3,1,0,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_03_three_case_estimation_results.png
fig_v07_04_fixed_vs_c05_error_vectors.png,fixed topK3 与 C05 的实际测角误差向量,"5.6, 6.5",live Step11.7 representative backend outputs + archived fixed topK3,1,0,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_04_fixed_vs_c05_error_vectors.png
fig_v07_05_cache_mechanism_and_equivalence.png,Step11.6 direct 构造与 cached lookup 的等价性验证,"5.7, 6.6",Step11.6/11.7 archived keypoints + live representative backend,1,0,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_05_cache_mechanism_and_equivalence.png
fig_v07_06_backend_output_snapshot_clean.png,Step11.7 final backend 输出字段示例,"5.8, 6.7",live Step11.7 final cached backend output,1,0,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_06_backend_output_snapshot_clean.png
fig_v07_07_final_pipeline_clean.png,Step11.7 final cached C05 backend 流程图,"1.5, 5.8",engineering route specification + Step11.7 backend interface,0,1,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_07_final_pipeline_clean.png
fig_v07_08_runtime_candidate_decomposition.png,C05 候选数收益与 cache runtime 收益分解,"6.5, 6.6, 6.7",live representative backend outputs + Step11.6/11.7 runtime summaries,1,0,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_08_runtime_candidate_decomposition.png
fig_v07_09_old_baseline_relation_clean.png,common-el baseline、controlled pair2d 与 full4D 上界关系,"3.1, 6.2",Step11.1 model relation summary,0,1,E:\matlab_code\bishe_quanxi_papers\beamspace_ml_paper\03_paper_visual_demo_code\v0_7_visual_redraw\outputs\figures\fig_v07_09_old_baseline_relation_clean.png
