"branch_role","original_path","archived_path","archive_status","related_evidence","tracked_before","sha256_before","sha256_after","byte_identical","execution_authority","notes"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/001_stage8_1b_threshold_freeze_and_k1_validation.md","innovation-mining/stage8_execution_prompts/archive/completed/001_stage8_1b_threshold_freeze_and_k1_validation.md","COMPLETED","innovation-mining/19_*; innovation-mining/21_*; innovation-mining/22_*","True","23A89284166EB4FF39CB0A3664001C2305D254BC7567A0CFE516318BFCA29182","23A89284166EB4FF39CB0A3664001C2305D254BC7567A0CFE516318BFCA29182","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/003_stage8_compact_k1_k2_diagnostic_4worker_v2.md","innovation-mining/stage8_execution_prompts/archive/completed/003_stage8_compact_k1_k2_diagnostic_4worker_v2.md","COMPLETED","innovation-mining/23_*","True","ACF3C6E016BA85CB234893755E6C4E83F79DEF8338E222AD95DF5B54E12ECD15","ACF3C6E016BA85CB234893755E6C4E83F79DEF8338E222AD95DF5B54E12ECD15","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/004_stage8_r1_continuous_refinement_decisive_v1.md","innovation-mining/stage8_execution_prompts/archive/completed/004_stage8_r1_continuous_refinement_decisive_v1.md","COMPLETED","innovation-mining/24_*","True","E74474E75F87B7135DB93D5F21F58E42D762184E62C8C0BF243614C0CB79E457","E74474E75F87B7135DB93D5F21F58E42D762184E62C8C0BF243614C0CB79E457","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/005_stage8_core_v2_known_k_center_difference_pruning_v2.md","innovation-mining/stage8_execution_prompts/archive/completed/005_stage8_core_v2_known_k_center_difference_pruning_v2.md","COMPLETED","innovation-mining/26_*","True","8C96252659FD81EB019237A605E82DF6DF337FB5991E154C280BF0D410974131","8C96252659FD81EB019237A605E82DF6DF337FB5991E154C280BF0D410974131","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/006_stage8_core_v2_1_safe_hybrid_closure_v1.md","innovation-mining/stage8_execution_prompts/archive/completed/006_stage8_core_v2_1_safe_hybrid_closure_v1.md","COMPLETED","innovation-mining/27_*","True","F16268789709ABEA36D6F7F2553AD6ADC1ABAD65F4BED0F17F483F85430744FB","F16268789709ABEA36D6F7F2553AD6ADC1ABAD65F4BED0F17F483F85430744FB","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/007_stage8_core_v2_2_single_cpi_known_k_final_freeze_v1.md","innovation-mining/stage8_execution_prompts/archive/completed/007_stage8_core_v2_2_single_cpi_known_k_final_freeze_v1.md","COMPLETED","innovation-mining/28_*; innovation-mining/29_*","True","0EE27583D89B3F75309D4A3A3D06EE041F28982675B22F48FAA00568F41E7B68","0EE27583D89B3F75309D4A3A3D06EE041F28982675B22F48FAA00568F41E7B68","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/008_stage8_core_v2_2_f1_canonical_oracle_correction_v1.md","innovation-mining/stage8_execution_prompts/archive/completed/008_stage8_core_v2_2_f1_canonical_oracle_correction_v1.md","COMPLETED","innovation-mining/28_*; innovation-mining/29_*","True","FB2940BFC3ED76C2A1552BF8688C69A30F30158A0F68585347A0584FD9BEEEF0","FB2940BFC3ED76C2A1552BF8688C69A30F30158A0F68585347A0584FD9BEEEF0","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/009_stage8_core_v2_2_archive_f0_and_restart_final_freeze_v1.md","innovation-mining/stage8_execution_prompts/archive/completed/009_stage8_core_v2_2_archive_f0_and_restart_final_freeze_v1.md","COMPLETED","innovation-mining/28_*; innovation-mining/29_*","True","FDE71F975DDD34895BA8B5808C066165615591F3D7F862BA8005F5C387A354A1","FDE71F975DDD34895BA8B5808C066165615591F3D7F862BA8005F5C387A354A1","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/010_stage8_core_v2_2_f0_real_entry_preflight_final_freeze_v1.md","innovation-mining/stage8_execution_prompts/archive/completed/010_stage8_core_v2_2_f0_real_entry_preflight_final_freeze_v1.md","COMPLETED","innovation-mining/28_*; innovation-mining/29_*","True","4678C9F571AF423D5D160C3E1AA4C738DEE1A9517B4693F1785FD3F81B437A7B","4678C9F571AF423D5D160C3E1AA4C738DEE1A9517B4693F1785FD3F81B437A7B","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
"TANGENT_PRIMARY_AND_CLASSICAL_BASELINES","innovation-mining/stage8_execution_prompts/archive/completed/011_stage8_core_v2_2_structured_process_audit_final_freeze_v1.md","innovation-mining/stage8_execution_prompts/archive/completed/011_stage8_core_v2_2_structured_process_audit_final_freeze_v1.md","COMPLETED","innovation-mining/28_*; innovation-mining/29_*","True","2B0EDA7404F9CB3B65AD3683C81DE703577CCD9038DB1C3B70C613628797E4E7","2B0EDA7404F9CB3B65AD3683C81DE703577CCD9038DB1C3B70C613628797E4E7","True","False","ARCHIVED_HISTORICAL_PROMPT;NO_EXECUTION_AUTHORITY"
